"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
29.97,928,16.524,6.9,"WSA",7,29.4442
34.67,606,30.925,10.1,"SAV",5,8.26225
32.67,731,23.214,7.9,"SAV",5,14.0537
23.58,223,11.87,4,"OSH",42,1.33625
31.09,681,17.616,8,"WSA",7,13.7417
30.56,609,30.239,7.7,"WSA",7,9.62109
28.95,316.6,32.49,2,"OSH",42,2.10858
22.69,453,20.685,7.9,"SAV",2,3.15313
19.92,415,18.386,3.5,"SAV",3,5.34613
32.41,824,36.21,5.75,"WSA",39,10.5644
18.11,405,9.771,3.2,"SAV",3,5.83626
21.31,263,14.959,3.1,"SAV",5,5.23266
31.37,957.057,35.97,8.6,"WSA",40,7.17815
34.34,569,35.244,5.6,"WSA",7,7.70745
29.85,648,15.148,9.3,"SAV",5,18.81
36.05,578,37.54,8.4,"SAV",5,13.5977
25.18,135,9.288,6,"WSA",7,2.34041
31.01,1077,36.87,3,"SAV",3,0.776097
26.64,640,17.109,3.3,"SAV",5,12.539
16.8,349.4,9.38,11,"OSH",11,5.32547
26.07,683.896,23.99,10.5,"WSA",40,8.44119
26.72,279.2,28.6,3.86,"WSA",39,1.87166
15.786,138.528,5.634,13.051,"OSH",22,1.41038
28.15,598,19.452,5.9,"WSA",7,13.8336
24.86,694,20.739,3.6,"SAV",5,7.20467
26.2,629.53,9.356,16.118,"CSH",31,7.34184
24.05,501,6.586,7.4,"WSA",7,8.03069
19.81,87,13.407,6.7,"WSA",7,2.24621
25.61,774,26.285,5.8,"WSA",7,8.1389
23.23,686,16.812,7.5,"WSA",7,21.0567
27.96,705,17.352,7.1,"WSA",7,14.7248
28.63,640.6,28.461,10.6,"SAV",36,9.46289
29.4,897,23.84,4,"OSH",42,0.298459
19.62,511,14.392,3.1,"SAV",3,2.3799
30.37,90,35.114,3.9,"SAV",2,1.28553
19.51,533,10.21,2.8,"SAV",3,5.20104
27.28,463.02,10.658,23.237,"CSH",31,7.74316
29.12,801,14.377,8.2,"SAV",36,19.6967
25.82,318,6.321,10.9,"SAV",5,13.1867
23.53,856,19.731,8.5,"WSA",7,9.71329
31.04,871,23.871,3.3,"SAV",5,8.59707
35.62,511,36.082,6.6,"SAV",5,12.4779
17.989,1020.29,15.062,13.344,"OSH",23,1.35971
27.56,69.82,32.52,1.97,"WSA",39,0.355158
26.95,881,28.447,4.6,"SAV",2,2.29422
25.44,875,22.118,3.3,"SAV",3,4.42981
27.71,406,28.253,5,"SAV",6,8.37822
33.04,641,30.256,4.7,"SAV",5,13.3612
30.9,770,14.745,9.1,"WSA",7,16.458
27.3,106,26.858,3.3,"SAV",5,8.16451
27.4,487,24.461,4.8,"SAV",2,3.14383
30.36,660,15.597,3.7,"SAV",5,29.5579
33.66,950,31.324,6.3,"WSA",7,14.8481
24.12,752,18.038,7.5,"WSA",7,11.6531
35.21,1108,43.242,3.9,"SAV",2,4.02054
30.99,687,37.726,4,"SAV",6,3.83111
31.62,845,34.02,3,"OSH",42,0.292189
31.04,598,14.863,8,"WSA",7,21.842
29.14,418,11.31,9.5,"SAV",5,13.3244
31.09,466,25.746,9.6,"SAV",5,11.1423
28.05,570,15.168,3.4,"SAV",5,8.89576
22.71,111.3,11.34,2,"OSH",42,1.93056
25.14,814,15.92,2.45,"WSA",39,5.70828
30.05,734,26.389,3.1,"SAV",5,7.96653
29.02,57.15,27.81,3.93,"WSA",39,1.74503
28.49,700,28.009,3.4,"SAV",5,10.6282
31.29,801,36.548,6.6,"WSA",7,5.21197
28.22,403.5,24.77,5.13,"WSA",39,1.55626
30.28,230,22.427,8.9,"WSA",7,6.15177
31.19,442,21.35,5.4,"WSA",7,7.94366
27.94,772,20.346,8.5,"WSA",7,8.99603
24.65,841,26.067,3.5,"SAV",3,2.4977
19.48,216,12.229,8.4,"WSA",7,4.07492
23.82,153.04,10.098,19.35,"CSH",31,4.86841
29.49,556,35.858,2.5,"SAV",3,0.674798
23.6,745,21.854,3.4,"SAV",5,9.7738
26.4,367,9.639,7,"WSA",7,8.12945
28.21,760.38,13.893,22.49,"CSH",31,5.20963
31.74,312,40.27,4,"OSH",42,2.01675
26.76,108.3,23.88,4.68,"WSA",39,1.80421
15.251,319.355,6.634,14.461,"OSH",23,2.87114
35.66,1014,45.89,3.45,"WSA",39,1.45657
24.38,602,22.596,3.3,"SAV",2,0.269368
