"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
22.415,581.83,17.124,8.606,"GRA",1,33.156
38.23,88,54.345,8,"GRA",8,0.258072
29.26,912,28.064,6.4,"GRA",4,14.4799
34.8,867,39.492,5.9,"GRA",4,8.90028
27.83,883.32,25.46,4.5,"GRA",43,7.15039
12.44,572.6,7.386,24.201,"GRA",33,12.0814
29.02,98.2,27.67,12,"GRA",43,0.882411
27.87,811,24.06,10,"GRA",43,4.34986
15.339,237.49,9.62,8.154,"GRA",41,3.34535
26.47,68,22.816,9.9,"GRA",8,1.85324
22.58,972.02,13.79,8.158,"GRA",41,20.2536
32.18,972,38.917,5.9,"GRA",8,11.4293
19.4,596.5,11.47,29.3,"GRA",37,15.7208
15.07,963,7.103,28.981,"GRA",33,21.2288
30.262,463.44,31.34,3.734,"GRA",41,4.35343
28.997,917.08,24.11,10.8,"GRA",41,6.18485
20.28,596.53,12.527,13,"GRA",1,28.2519
31.1,966.957,28.64,5.34,"GRA",38,20.4672
27.82,775.7,20.19,10,"GRA",43,7.33513
34.37,834.783,44.79,3.37,"GRA",38,5.34734
21.28,269.3,14.94,9,"GRA",43,3.59791
19.61,188.24,12.1,16,"GRA",1,26.9303
25,573.5,20.55,10.211,"GRA",41,16.11
19.56,415.4,6.675,18,"GRA",1,22.2809
21.87,88.3,19.36,12,"GRA",43,1.88402
21.68,252.9,23.04,9,"GRA",43,1.60949
30.68,910,18.974,6.1,"GRA",4,21.1799
12.84,463.2,9.495,25.336,"GRA",33,21.3724
21.36,151.9,5.92,14.67,"GRA",43,1.12408
27.57,973,27.99,9,"GRA",43,1.53788
27.12,241.5,31.61,2,"GRA",43,2.26747
32.47,803,38.95,13,"GRA",43,7.3555
22.062,297.92,13.91,10.17,"GRA",41,17.5576
35.78,533,40.511,10.8,"GRA",8,3.61707
15.26,189.8,7.502,28.646,"GRA",33,5.13329
28.5,864,26.36,13,"GRA",43,4.96133
18.2,876,10.72,24.1,"GRA",37,26.3372
30.38,1023.48,30.48,6.09,"GRA",38,7.44223
29.74,919.368,33.53,11,"GRA",43,4.67683
29.139,814.56,21.466,18.279,"GRA",14,23.0303
20.41,774.1,13.28,9,"GRA",43,8.45771
22.99,842.51,15.714,9,"GRA",1,49.1943
31.17,260.457,33.47,4,"GRA",43,3.21469
31.525,819.66,29.36,6.668,"GRA",41,5.60264
16.783,1007.2,13.67,4.977,"GRA",41,12.6868
21.15,840,13.31,6.46,"GRA",41,22.3546
28.23,1036.52,33.67,3.72,"GRA",38,2.73932
27.53,893.913,30.02,4.67,"GRA",38,6.55288
23.02,715,22.509,7.1,"GRA",8,3.48392
24.42,551.42,16.04,6,"GRA",43,3.38145
31.003,791.07,31.92,11.25,"GRA",41,9.69399
22.2,114.5,13.06,11,"GRA",43,1.27149
12.29,477.8,8.326,25.701,"GRA",33,8.67054
20.43,871,14.087,25.368,"GRA",33,15.7372
20.993,947.941,14.848,21.886,"GRA",16,15.1436
34.28,357.131,38.89,4.63,"GRA",38,11.7343
13.749,847.995,7.131,18.771,"GRA",33,20.6128
